s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59
0.229787291089304	0.216287280010879	0.207198683752968	0.232926905005389	0.212059299605588	0.175374728139401	0.285519810212357	0.193888661142712	0.156346745956853	0.184789055964983	0.281232640730335	0.234729920451686	0.218510881172999	0.103642120544783	0.285177468816103	0.160535409233969	0.205342108339115	0.274118335552626	0.290144088558161	0.377785071530981	0.523412893729687	0.239123054027849	0.427284740459629	0.161846393441218	0.492748645172402	0.327370292112819	0.566580460866999	0.276054176944789	0.492139467584607	0.234935416269608	0.335054296808277	0.432017136465206	0.260324778473642	0.240970495748106	0.193144591984183	0.210476018394478	0.160166611643706	0.344587597730084	0.240591040531761	0.397811468742075
0.343506409863834	0.457960653964592	0.374962484187145	0.420523536674152	0.393376155086078	0.407609726793372	0.477245306910925	0.389021154482117	0.313647382608077	0.377288224873954	0.385361026349361	0.381080898490457	0.408072195075112	0.321882265042463	0.435188462859596	0.359614167677803	0.432469654972678	0.343288010726287	0.417493950016268	0.704048112509255	0.665571789236016	0.635055887066688	0.683021242744855	0.338660228597138	0.693459118212387	0.582726922005488	0.642481602288343	0.3883384329533	0.692411714650474	0.509631662223687	0.465143451786256	0.401445939349965	0.449443984728536	0.368538966594791	0.42534565822469	0.385040184052366	0.398803803959566	0.374738364212193	0.411767437741619	0.419263558042672
0.217614161763011	0.212038473375803	0.213080334943128	0.217131200420921	0.214381407570653	0.214501015240146	0.213522958204666	0.20749161000381	0.207629402943861	0.213964052518168	0.21702161713527	0.209504939274833	0.210084440970774	0.209055451581125	0.21210475358408	0.210465512901013	0.200507836913425	0.21143117896812	0.21644186251502	0.257376597412256	0.235573452513215	0.233454156755569	0.276322990426626	0.212215057237904	0.242147093644932	0.236139397450736	0.243401897127184	0.219006225003075	0.233533782352333	0.223039448538619	0.222289668656525	0.217701538907838	0.220055681953068	0.217433712059356	0.2190415729238	0.216457851244486	0.218779297779611	0.213208077908954	0.211606606011098	0.220610372444722
0.0314942075320194	0.0306751525321805	0.0303586172969975	0.0293007699865815	0.023631159757252	0.0261539207199878	0.0310090359422719	0.0244639282888843	0.0240386214927127	0.0267547232782069	0.0289785378191187	0.0283487312691181	0.0254627842554487	0.027430711410944	0.0319026305966765	0.0253611389136124	0.024817032124357	0.028848469346112	0.0260697038405786	0.0745282949465715	0.0848626419344048	0.0746302885074091	0.0720450239826957	0.0353692821214315	0.070396211619445	0.0869071008510725	0.0816401757077966	0.0338848754548939	0.0824744889320524	0.0337656642785393	0.0333894470238153	0.0322252936727943	0.0344829802635115	0.0279480126994354	0.031679046099803	0.0250777947900445	0.0271108539400394	0.0268834527432507	0.0283157920410888	0.0267072699762257
0.126522226399008	0.0898429718397341	0.163809875104736	0.108726108012394	0.115011858604409	0.0936947461054514	0.0822233571028145	0.24780913952859	0.0875909403620911	0.138479884487624	0.198553967805728	0.183711227696016	0.122010240679963	0.0783059728688824	0.11936197476714	0.126974899040197	0.0673391213880926	0.113579658010131	0.172859838173892	0.355738876917663	0.365209955021442	0.239197787510947	0.45993196784599	0.245445865943956	0.359923561610831	0.364936275810782	0.300311355263376	0.119274701071902	0.332774101194981	0.173738425926553	0.168714956139976	0.121899988593543	0.159565269100123	0.170317366190018	0.0778100494045666	0.0637888201032804	0.0961133993944203	0.108449658806752	0.14755086140741	0.0646987064580559
0.0516416645039866	0.0427306835770698	0.0371261473002859	0.0434301016247998	0.0430231168528862	0.0416000994893527	0.03847333800858	0.0452120214381455	0.0481725310999965	0.0392260304842414	0.0394807282698339	0.0472708825878256	0.0422830912313372	0.0382443056620137	0.0463698563808027	0.0480586836812996	0.043542448117827	0.0455719184993579	0.050387519543457	0.0362649739646512	0.0359558086196246	0.0267194855225886	0.04067587957443	0.0600820919297364	0.0301478771937355	0.0375361568259329	0.0333336223986915	0.0708851768839943	0.0366609482553143	0.0577051355139286	0.0510689279659398	0.0618117474619706	0.045843196967996	0.0603829948670599	0.0449970642408456	0.0469833404909015	0.0323843726201128	0.0423457150611368	0.0476635139950371	0.0496374067712002
0.34317757009724	0.325601431239418	0.278177514788628	0.313224858421176	0.29840698754559	0.322519895388296	0.410982712594458	0.222838282544923	0.267045797394263	0.317118899909428	0.362029983432801	0.293322278740309	0.339151482399744	0.335587441996092	0.480861660548075	0.256656107405557	0.253142703442514	0.371736082447432	0.391141342061925	0.640228763668022	0.716925058470492	0.462713562568447	0.589828145744754	0.164446226791776	0.638037054451074	0.541842014152499	0.587797278092629	0.344695845206375	0.679038277598927	0.435651618353211	0.513681609512901	0.388735760641015	0.396426269540275	0.326341528111014	0.380476831622111	0.286301930973999	0.239517068732046	0.346704368693376	0.291760334590712	0.438739649548635
0.571255014104246	0.546773904668024	0.520919112527519	0.607532753940946	0.541909761482556	0.526976526825576	0.773494256706682	0.591057623980722	0.46219876918588	0.568867302593918	0.720380385252044	0.590949975767583	0.661721217541243	0.461932016601202	0.868576894937259	0.380818415182076	0.517497277651169	0.777416934320123	0.790674154171693	0.82201961615385	0.90666597400102	0.738645881097321	0.883923512075074	0.650749735155552	0.901584117189207	0.851228077488736	0.905252724099258	0.730331091218739	0.916575331923216	0.681539191061278	0.808217070205415	0.840465467223917	0.691703303141056	0.652835492141426	0.552353811218259	0.530257029251201	0.559085412141031	0.874317695032695	0.578867172147742	0.806013567946547
0.486149102448136	0.420103257262417	0.440588724676145	0.527599817069189	0.443882076503408	0.452836086131752	0.523413627020199	0.511814035684577	0.438061981789214	0.480872429940724	0.487734878911469	0.532763385820554	0.539065509230859	0.423240363887031	0.511069873141832	0.384125847216693	0.406562740499366	0.520350975173318	0.515653850765728	0.654111069415753	0.684518286061321	0.635437726087578	0.769140863317373	0.590556025357234	0.739716443393959	0.711281368507091	0.72455243892544	0.545260079298793	0.716766932828319	0.433882139940466	0.492386360801482	0.51649419260159	0.525802692078097	0.505313522998601	0.442454523232121	0.480449000548967	0.448638290359416	0.57512779738861	0.591959717922775	0.529444558342917
0.363664908993108	0.330171623393709	0.374933379720789	0.350954311519364	0.440608708721526	0.414881640450651	0.399217512034529	0.392010709437773	0.433540429270288	0.487722578743822	0.302584189149597	0.401168348230059	0.363053458187895	0.53543259539184	0.304599558779243	0.4995626173175	0.326216178822145	0.312974000807329	0.351896319663922	0.52024040757243	0.518191655003363	0.578218632553939	0.560554463492622	0.444926463490488	0.501669877120993	0.419186539430727	0.392754279537305	0.311411477810196	0.495093552952242	0.425445209620304	0.379617127218197	0.266231077203083	0.43110999571929	0.451118651495188	0.430269827612501	0.408344960228652	0.375011187048968	0.249804862367205	0.431391148468272	0.245669563790009
